7 15
🍄, 🠕 , 🠕 , --, --, --, --, 🠕 , 🍬, --, --, --, --, 🠖, 🍄, --, 🍬, --, --, --, --, 🠖, --, 💀, 🏁, 💀, 🠖, --, --, 🠔
--, --, 🍬, --, 🠖, --, 🍬, --, --, --, --, --, 🠔, 🠕 , --, 🪞, --, 🠖, 🠖, --, 🠖, 🠕 , --, --, 💀, 🠗 , --, --, --, --
🍄, 🪞, --, --, --, --, --, --, 🠖, --, --, --, --, --, --, --, 🍬, --, --, 🪞, --, --, 🪞, --, 🠗 , 🠖, --, --, 🠔, --
🍬, 🠔, 🍬, --, --, --, --, --, --, --, 💀, --, 🪞, --, --, --, --, 🍬, --, --, --, 🪞, 🍬, 🠗 , --, --, --, 🠗 , 🪞, --
--, --, --, 🪞, --, --, 🠔, --, 🠔, --, --, --, --, --, --, 🠖, --, 🪞, 💀, --, --, --, 🠕 , 💀, 🠕 , 🍄, 🠗 , --, --, 💀
--, --, --, --, --, --, 🠖, 🍄, --, 🪞, --, --, 🠕 , --, --, --, --, 🍬, --, , --, 🠔, 🠗 , 🪞, 🠖, --, --, 🠔, --, 🪞
--, 💀, --, 🍬, --, --, 🠗 , --, --, --, --, --, 🠕 , 🠖, 🠕 , --, --, --, --, --, 🠗 , --, --, --, --, --, --, --, --, --
🪞, 🍄, 💀, --, --, --, 🍄, --, 🠔, 🠔, 🠗 , 🠕 , --, --, 🠔, 🐹, 🍄, --, --, --, 🠖, 🪞, --, 🠗 , 💀, --, 🍬, --, --, --
--, --, 🠖, 💀, --, --, --, 🠗 , --, --, --, 🠕 , 🪞, 💀, --, 🠗 , --, --, --, --, --, --, --, --, --, 🠔, 🪞, 🠖, --, 🪞
--, --, 🠔, --, --, --, --, 🍬, --, --, 🍄, 🍄, --, --, --, --, 🍄, --, 🍄, --, 🠕 , --, 🠕 , --, --, --, --, 💀, 🪞, 🍄
--, --, 🍄, 🍄, --, --, 🍬, 🍄, --, 🠔, --, 🠗 , --, --, --, 🠖, --, 🍬, 🍬, 🪞, 🍄, --, 🪞, --, --, 🪞, 🠗 , --, --, 💀
--, 🠗 , 🍄, 🍄, 🍬, --, 🪞, --, 🪞, --, --, 🠔, 🠖, --, --, 🪞, --, --, --, --, --, --, --, --, 🠔, 💀, --, 🪞, --, --
--, --, --, --, 🠗 , 💀, --, --, 🪞, 🪞, --, --, --, --, --, 🠕 , --, 🠔, 🠔, --, --, --, --, --, 🠖, --, 🠗 , 🠔, --, --
--, --, 🠗 , --, --, --, --, 🪞, --, --, --, 🍬, 🠖, 💀, --, --, --, --, --, 🠔, 🪞, --, --, --, --, --, --, 💀, --, --
--, --, 🠔, --, 💀, --, --, 🠗 , --, 🠗 , --, --, --, --, 🠕 , 🠖, 🍬, --, --, --, --, 🠔, --, 🠖, --, 🠕 , 🪞, 🪞, 🠖, 🠔
--, 🠗 , --, --, --, 🠕 , 🍬, 💀, 🪞, --, 💀, 🍄, 🠗 , --, --, 🠔, --, 🠔, --, --, --, 🪞, 💀, 🠕 , --, 🠖, --, --, --, --
