16 77
--, --, 🪞, 🠕 , --, --, 🪞, --, --, --, 🠕 , --, --, --, --, 🪞, --, --, --, --, --, 🠖, --, 🪞, 🠗 , --, --, 🠔, 💀, 🪞, --, --, --, 🪞, --, 🠗 , --, --, 🠕 , --, 🪞, --, --, --, 🠗 , --, --, 💀, --, 🠖, --, 💀, --, 🠔, --, 🠕 , 🠗 , --, --, --, 🍬, --, --, --, --, --, --, --, 🠕 , --, 💀, --, --, --, --, 🠔, --, 🍬, 🪞, --, --, --, 🠗 , --, --, 🠖, 🪞, 🠖, --, 🠗 , --, 🠖, 🠕 , --, --, 🠖, --, --, --, 🠖
--, 🍄, --, --, --, 🪞, --, 🠔, --, --, --, --, 🠖, 🍄, 🍬, 🪞, 🠗 , 🍬, 🠕 , 🍬, --, 🠔, --, --, 💀, 🠗 , 🠔, --, 🍄, 🍬, --, 💀, 🪞, 💀, --, --, --, --, --, --, 🠗 , --, --, 🠖, --, --, 🠗 , --, --, --, --, --, 🠖, 🍬, --, --, 🠕 , 🠗 , --, --, 🠔, 🠔, 🠕 , --, 🠔, --, --, --, --, 💀, --, --, 🪞, --, 🍬, 🠕 , --, --, --, 🍄, 🠔, --, --, --, --, 🠕 , 🍬, 🠖, --, 🠔, --, --, 🪞, 💀, --, 🠖, 🠖, --, --, 🠕 
--, --, --, 🠔, 🪞, --, 🠗 , 💀, --, 🠗 , --, --, 🪞, 🠖, --, 🠕 , --, --, 🍄, 🠗 , 🠗 , --, 🪞, 🠕 , --, --, --, --, --, --, --, --, --, --, 🍄, --, --, --, --, --, --, 🪞, 💀, 🠔, 💀, 🍄, 💀, --, --, --, --, --, --, 🠖, --, --, --, --, --, --, 🠕 , 🪞, 🪞, 🠔, --, --, --, --, --, 🠕 , --, --, 🍬, 🠔, --, --, --, 🠖, 🠖, --, 🠗 , --, --, 🍄, --, --, --, --, --, 🪞, 🠔, 🪞, --, 🍄, --, 🠗 , --, --, 🪞, --
--, 🠕 , 🪞, --, --, --, --, 🠔, --, --, --, 🠕 , --, 🠔, --, --, --, 🠖, --, 🍄, --, 🠗 , 💀, --, 💀, --, 🍬, --, --, --, --, --, --, --, 🍬, --, --, 🍄, --, --, --, --, 🠕 , 💀, --, --, --, --, 🍄, 🠔, 🠗 , --, 💀, --, --, --, --, --, --, --, --, --, 💀, 🪞, 🠗 , --, --, 🠔, 🠖, 🍬, --, --, 🠔, 🪞, --, --, --, 🠖, --, 🍄, 🠕 , --, --, --, 🠕 , --, --, 🠕 , 🍬, --, --, 🪞, --, 🠕 , --, --, 🠖, --, 🠔, --
--, 🍬, --, 🠗 , 🠗 , --, --, 🠖, --, 🍬, 🍬, --, 🍬, 🠗 , --, 🠖, --, --, 🠕 , --, 💀, --, --, --, --, 🠔, 🪞, --, 🠗 , --, --, 💀, --, 🠗 , 🍬, 🍬, --, --, --, 💀, 🪞, --, 🠖, 🠕 , 🍬, --, 🠗 , 🠕 , 🠔, 🍬, --, --, --, --, 🪞, --, 🠔, --, --, --, --, 🠗 , --, --, 💀, --, --, --, --, --, --, 🠕 , --, --, --, --, --, 💀, 🠗 , 🪞, --, --, --, --, 🠗 , --, 🍄, --, --, 🍬, --, 🍄, 🠔, --, --, --, --, 🍬, 🍬, --
--, --, --, --, 🠕 , 🠗 , --, --, --, 🠖, --, --, --, 💀, 🠔, 🍬, 🠔, --, --, 🍬, --, 🪞, 🪞, --, --, --, --, --, 🠖, --, --, 🪞, --, --, --, --, 🠖, 🍬, --, --, 🠕 , --, 🠕 , 🍄, 🍄, --, --, --, --, --, 🠕 , --, --, --, 🍄, --, --, --, --, 🪞, --, --, --, --, 🍄, --, --, --, --, --, --, 🪞, 🠗 , 🍬, 🠕 , --, --, 🍬, 🪞, 🠗 , 🪞, --, 🪞, --, 🠖, --, --, --, 🍬, --, 🍄, 🍄, --, --, --, 🠖, --, --, --, --
--, 🠗 , --, --, 🠖, 🍬, 🠖, --, --, 🪞, 🠕 , --, 🪞, --, --, 🠕 , --, 💀, --, --, 🠖, --, --, --, 🪞, --, 🍄, --, 🍬, 🠖, --, --, --, 🠖, 🍬, 💀, 💀, --, --, 🪞, --, --, --, --, 🠕 , 🠕 , --, --, --, --, --, --, --, --, --, --, --, --, 🍬, 🠔, 💀, --, 🍬, --, --, --, --, --, --, 🍄, 🍄, --, 🍬, --, 🍬, 🠔, --, --, 🠖, --, 🠗 , 🠕 , --, --, --, 🍄, --, --, --, --, 🠗 , --, 🠕 , --, --, 🠔, --, --, --, 🠖
--, 🠔, --, --, 🠖, 🍬, 🠖, --, 🠕 , --, --, --, 🠕 , --, --, --, --, 🪞, --, 🍬, 🠗 , --, 🍄, --, 🠕 , --, --, 🠗 , 🍄, 🪞, --, --, 🠕 , --, --, 🠗 , --, 🠔, 🠖, --, --, --, --, --, --, 🍬, --, --, --, --, 🠗 , --, --, --, --, --, 🠔, --, 💀, --, --, 🠗 , 🠖, --, --, --, --, 🠖, --, 🍄, --, --, --, --, --, --, --, --, --, 🍬, 🠕 , --, --, --, --, 🪞, 🍄, --, 🠗 , 🪞, 🠔, --, --, --, --, --, 🠖, 🠗 , --, --
🠕 , --, 🠗 , --, --, --, 🍬, --, --, 💀, 🪞, 🠗 , --, --, --, 🍬, 🠔, --, --, 🠗 , --, 🠕 , 🍄, --, 🠗 , --, 🠕 , --, --, --, --, --, 🍬, --, 🪞, 💀, --, --, --, 🍄, --, --, 🠔, --, 🍬, --, 🪞, --, --, 🠕 , --, --, --, 🍬, 🪞, 🠖, --, --, --, --, --, --, --, 🠔, 🍄, --, --, 🍬, --, --, 🠕 , 🪞, --, 🠔, --, --, --, --, --, --, 🍄, --, 🍄, --, --, --, 🪞, --, 🠕 , 💀, 🪞, --, 🍄, --, 🠕 , --, --, --, 🍬, 💀
🠗 , --, 💀, --, 🠗 , --, --, --, --, --, 🠗 , --, --, --, 🠗 , --, --, --, --, --, --, --, --, --, 🠔, --, --, --, --, --, 🪞, 💀, --, 🠗 , --, --, --, --, --, --, 🍄, --, --, --, --, --, --, --, --, --, 🪞, 🠔, 🠖, 🠔, 🍬, 🍄, --, --, 🠔, --, --, 🠔, 🍄, --, --, 🠖, --, --, --, 🠔, 🠔, 💀, 🍬, --, --, --, 💀, 💀, 🪞, 🍄, --, --, 🠗 , --, 💀, 🪞, --, --, 🠗 , 🠕 , 💀, --, --, --, --, 🠔, --, --, --, 🠕 
--, 🠗 , --, 🪞, 🠖, --, --, --, --, 💀, 🠔, --, 🠗 , 💀, --, 🠕 , --, --, --, --, --, --, --, --, 🠕 , --, --, 🠕 , 🪞, --, --, --, 🠗 , --, --, --, 💀, 🍬, 🠗 , --, 🍄, 🠗 , --, --, 🪞, --, --, --, 🠗 , 🪞, --, 🍬, 🠗 , 🍬, --, --, 💀, --, 🠔, 🍄, --, --, --, --, --, 💀, --, 🠗 , --, 🠖, 🠖, 🠔, --, --, 🍬, --, 🠔, --, --, --, 🍄, 💀, 🠖, 💀, --, 🠗 , --, --, 🠔, --, --, --, --, --, 🍄, 💀, --, 🠖, --, 🠔
